ADM0_CODE,mean_temp_2015_country,temp_min_exclusive,temp_max_inclusive,mcfpasture,mcfdaily,mcfsolid,mcfsolidcov,mcfsolidbulk,mcfsolidadd,mcfdrylot,mcfpit1,mcfpit3,mcfpit4,mcfpit6,mcfpit12,mcfliquid1,mcfliquid3,mcfliquid4,mcfliquid6,mcfliquid12,mcfliquidnatcov1,mcfliquidnatcov3,mcfliquidnatcov4,mcfliquidnatcov6,mcfliquidnatcov12,mcfliquidsolcov1,mcfliquidsolcov3,mcfliquidsolcov4,mcfliquidsolcov6,mcfliquidsolcov12,mcflagoon,mcfbiogaslowleak1,mcfbiogaslowleak2,mcfbiogaslowleak3,mcfbiogashighleak1,mcfbiogashighleak2,mcfbiogashighleak3,mcfburned,mcfdeepnomix2,mcfdeepnomix1,mcfdeepmix2,mcfdeepmix1,mcfcompostves,mcfcompoststat,mcfcompostint,mcfcompostpass,mcflitter,mcfnolitter,mcfareobic,mcfaerproc
3,12.5461689249817,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
19,12.8934174637561,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
41,12.0134672914699,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
62,12.536635092696,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
104,12.0803699493408,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
113,12.147177510043,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
128,12.0996217727661,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
142,12.0860843739267,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
175,12.5252767741804,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
202,12.2302959762277,12,13,1,0.1,2,2,2,2,1,3,22,22,22,22,22,22,22,22,22,14,14,14,14,14,14,14,14,14,14,71,10,10,10,10,10,10,10,22,3,22,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
122,13.0953482236584,13,14,1,0.1,2,2,2,2,1,3,25,25,25,25,25,25,25,25,25,15,15,15,15,15,15,15,15,15,15,73,10,10,10,10,10,10,10,25,3,25,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
261,13.6911767753401,13,14,1,0.1,2,2,2,2,1,3,25,25,25,25,25,25,25,25,25,15,15,15,15,15,15,15,15,15,15,73,10,10,10,10,10,10,10,25,3,25,3,0.5,0.5,0.5,0.5,1.5,1.5,0,0
12,14.6718221665828,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
97,14.5689516675816,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
141,14.8408850000964,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
151,14.4259164810181,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
166,14.2191343307495,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
213,14.2122430801392,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
229,14.3070525151328,14,15,1.5,0.5,4,4,4,4,1.5,3,27,27,27,27,27,27,27,27,27,17,17,17,17,17,17,17,17,17,17,74,10,10,10,10,10,10,10,27,3,27,3,0.5,0.5,1,1,1.5,1.5,0,0
199,15.788665022726,15,16,1.5,0.5,4,4,4,4,1.5,3,29,29,29,29,29,29,29,29,29,18,18,18,18,18,18,18,18,18,18,75,10,10,10,10,10,10,10,29,3,29,3,0.5,0.5,1,1,1.5,1.5,0,0
74578,15.3961114883423,15,16,1.5,0.5,4,4,4,4,1.5,3,29,29,29,29,29,29,29,29,29,18,18,18,18,18,18,18,18,18,18,75,10,10,10,10,10,10,10,29,3,29,3,0.5,0.5,1,1,1.5,1.5,0,0
110,16.6838188171387,16,17,1.5,0.5,4,4,4,4,1.5,3,32,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,76,10,10,10,10,10,10,10,32,3,32,3,0.5,0.5,1,1,1.5,1.5,0,0
250,16.6743195488136,16,17,1.5,0.5,4,4,4,4,1.5,3,32,32,32,32,32,32,32,32,32,20,20,20,20,20,20,20,20,20,20,76,10,10,10,10,10,10,10,32,3,32,3,0.5,0.5,1,1,1.5,1.5,0,0
260,17.7569973905865,17,18,1.5,0.5,4,4,4,4,1.5,3,35,35,35,35,35,35,35,35,35,22,22,22,22,22,22,22,22,22,22,77,10,10,10,10,10,10,10,35,3,35,3,0.5,0.5,1,1,1.5,1.5,0,0
117,18.0923722093113,18,19,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0
169,18.3620717588036,18,19,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0
206,18.8381299972534,18,19,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0
227,18.8619073933472,18,19,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0
238,18.9893529200661,18,19,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0
64,19.0472591913663,19,20,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0
130,19.1790275934495,19,20,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0
