"COUNTRY","ADM0_CODE","Animal_short","HerdType_short","b0","mms","ipcc_ref"
"Guinea-Bissau",105,"BFL","",0.1,"","2006; 2019"
"Guinea-Bissau",105,"PGS","",0.29,"","2006; 2019"
"Guinea-Bissau",105,"SHP","",0.13,"","2006; 2019"
"Guinea-Bissau",105,"GTS","",0.13,"","2006; 2019"
"Guinea-Bissau",105,"CML","",0.21,"","2006; 2019"
"Guinea-Bissau",105,"CHK","LAY",0.39,"","2006; 2019"
"Guinea-Bissau",105,"CHK","BRL",0.36,"","2006; 2019"
"Guinea-Bissau",105,"CTL","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"SHP","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"GTS","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"CML","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"CHK","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"PGS","",0.19,"mmspasture","2019"
"Guinea-Bissau",105,"BFL","",0.19,"mmspasture","2019"
"Kenya",133,"CTL","DRY",0.13,"","2006; 2019"
"Kenya",133,"CTL","",0.1,"","2006; 2019"
"Kenya",133,"BFL","",0.1,"","2006; 2019"
"Kenya",133,"PGS","",0.29,"","2006; 2019"
"Kenya",133,"SHP","",0.13,"","2006; 2019"
"Kenya",133,"GTS","",0.13,"","2006; 2019"
"Kenya",133,"CML","",0.21,"","2006; 2019"
"Kenya",133,"CHK","LAY",0.39,"","2006; 2019"
"Kenya",133,"CHK","BRL",0.36,"","2006; 2019"
"Kenya",133,"CTL","",0.19,"mmspasture","2019"
"Kenya",133,"SHP","",0.19,"mmspasture","2019"
"Kenya",133,"GTS","",0.19,"mmspasture","2019"
"Kenya",133,"CML","",0.19,"mmspasture","2019"
"Kenya",133,"CHK","",0.19,"mmspasture","2019"
"Kenya",133,"PGS","",0.19,"mmspasture","2019"
"Kenya",133,"BFL","",0.19,"mmspasture","2019"
"Lesotho",142,"CTL","DRY",0.13,"","2006; 2019"
"Lesotho",142,"CTL","",0.1,"","2006; 2019"
"Lesotho",142,"BFL","",0.1,"","2006; 2019"
"Lesotho",142,"PGS","",0.29,"","2006; 2019"
"Lesotho",142,"SHP","",0.13,"","2006; 2019"
"Lesotho",142,"GTS","",0.13,"","2006; 2019"
"Lesotho",142,"CML","",0.21,"","2006; 2019"
"Lesotho",142,"CHK","LAY",0.39,"","2006; 2019"
"Lesotho",142,"CHK","BRL",0.36,"","2006; 2019"
"Lesotho",142,"CTL","",0.19,"mmspasture","2019"
"Lesotho",142,"SHP","",0.19,"mmspasture","2019"
"Lesotho",142,"GTS","",0.19,"mmspasture","2019"
"Lesotho",142,"CML","",0.19,"mmspasture","2019"
"Lesotho",142,"CHK","",0.19,"mmspasture","2019"
"Lesotho",142,"PGS","",0.19,"mmspasture","2019"
"Lesotho",142,"BFL","",0.19,"mmspasture","2019"
"Liberia",144,"CTL","DRY",0.13,"","2006; 2019"
"Liberia",144,"CTL","",0.1,"","2006; 2019"
"Liberia",144,"BFL","",0.1,"","2006; 2019"
"Liberia",144,"PGS","",0.29,"","2006; 2019"
"Liberia",144,"SHP","",0.13,"","2006; 2019"
"Liberia",144,"GTS","",0.13,"","2006; 2019"
"Liberia",144,"CML","",0.21,"","2006; 2019"
"Liberia",144,"CHK","LAY",0.39,"","2006; 2019"
"Liberia",144,"CHK","BRL",0.36,"","2006; 2019"
"Liberia",144,"CTL","",0.19,"mmspasture","2019"
"Liberia",144,"SHP","",0.19,"mmspasture","2019"
"Liberia",144,"GTS","",0.19,"mmspasture","2019"
"Liberia",144,"CML","",0.19,"mmspasture","2019"
"Liberia",144,"CHK","",0.19,"mmspasture","2019"
"Liberia",144,"PGS","",0.19,"mmspasture","2019"
"Liberia",144,"BFL","",0.19,"mmspasture","2019"
"Madagascar",150,"CTL","DRY",0.13,"","2006; 2019"
"Madagascar",150,"CTL","",0.1,"","2006; 2019"
"Madagascar",150,"BFL","",0.1,"","2006; 2019"
"Madagascar",150,"PGS","",0.29,"","2006; 2019"
"Madagascar",150,"SHP","",0.13,"","2006; 2019"
"Madagascar",150,"GTS","",0.13,"","2006; 2019"
"Madagascar",150,"CML","",0.21,"","2006; 2019"
"Madagascar",150,"CHK","LAY",0.39,"","2006; 2019"
"Madagascar",150,"CHK","BRL",0.36,"","2006; 2019"
"Madagascar",150,"CTL","",0.19,"mmspasture","2019"
"Madagascar",150,"SHP","",0.19,"mmspasture","2019"
"Madagascar",150,"GTS","",0.19,"mmspasture","2019"
"Madagascar",150,"CML","",0.19,"mmspasture","2019"
"Madagascar",150,"CHK","",0.19,"mmspasture","2019"
"Madagascar",150,"PGS","",0.19,"mmspasture","2019"
"Madagascar",150,"BFL","",0.19,"mmspasture","2019"
"Malawi",152,"CTL","DRY",0.13,"","2006; 2019"
"Malawi",152,"CTL","",0.1,"","2006; 2019"
"Malawi",152,"BFL","",0.1,"","2006; 2019"
"Malawi",152,"PGS","",0.29,"","2006; 2019"
"Malawi",152,"SHP","",0.13,"","2006; 2019"
"Malawi",152,"GTS","",0.13,"","2006; 2019"
"Malawi",152,"CML","",0.21,"","2006; 2019"
"Malawi",152,"CHK","LAY",0.39,"","2006; 2019"
"Malawi",152,"CHK","BRL",0.36,"","2006; 2019"
"Malawi",152,"CTL","",0.19,"mmspasture","2019"
"Malawi",152,"SHP","",0.19,"mmspasture","2019"
"Malawi",152,"GTS","",0.19,"mmspasture","2019"
"Malawi",152,"CML","",0.19,"mmspasture","2019"
"Malawi",152,"CHK","",0.19,"mmspasture","2019"
"Malawi",152,"PGS","",0.19,"mmspasture","2019"
"Malawi",152,"BFL","",0.19,"mmspasture","2019"
"Mali",155,"CTL","DRY",0.13,"","2006; 2019"
"Mali",155,"CTL","",0.1,"","2006; 2019"
"Mali",155,"BFL","",0.1,"","2006; 2019"
"Mali",155,"PGS","",0.29,"","2006; 2019"
"Mali",155,"SHP","",0.13,"","2006; 2019"
