ADM0_CODE,mmspasture,mmsdaily,mmssolid,mmssolidcov,mmssolidbulk,mmssolidadd,mmsdrylot,mmspit1,mmspit3,mmspit4,mmspit6,mmspit12,mmsliquid1,mmsliquid3,mmsliquid4,mmsliquid6,mmsliquid12,mmsliquidnatcov1,mmsliquidnatcov3,mmsliquidnatcov4,mmsliquidnatcov6,mmsliquidnatcov12,mmsliquidsolcov1,mmsliquidsolcov3,mmsliquidsolcov4,mmsliquidsolcov6,mmsliquidsolcov12,mmslagoon,mmsbiogaslowleak1,mmsbiogaslowleak2,mmsbiogaslowleak3,mmsbiogashighleak1,mmsbiogashighleak2,mmsbiogashighleak3,mmsburned,mmsdeepnomix2,mmsdeepnomix1,mmsdeepmix2,mmsdeepmix1,mmscompostves,mmscompoststat,mmscompostint,mmscompostpass,mmslitter,mmsnolitter,mmsareobic,mmsaerproc,ipcc_method
206,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
227,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
238,1.5,0.5,4,4,4,4,1.5,3,39,39,39,39,39,39,39,39,39,24,24,24,24,24,24,24,24,24,24,77,10,10,10,10,10,10,10,39,3,39,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
64,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
130,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
156,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
195,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
205,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
248,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
147296,1.5,0.5,4,4,4,4,1.5,3,42,42,42,42,42,42,42,42,42,26,26,26,26,26,26,26,26,26,26,78,10,10,10,10,10,10,10,42,3,42,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
33,1.5,0.5,4,4,4,4,1.5,3,46,46,46,46,46,46,46,46,46,29,29,29,29,29,29,29,29,29,29,78,10,10,10,10,10,10,10,46,3,46,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
43,1.5,0.5,4,4,4,4,1.5,3,46,46,46,46,46,46,46,46,46,29,29,29,29,29,29,29,29,29,29,78,10,10,10,10,10,10,10,46,3,46,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
73,1.5,0.5,4,4,4,4,1.5,3,46,46,46,46,46,46,46,46,46,29,29,29,29,29,29,29,29,29,29,78,10,10,10,10,10,10,10,46,3,46,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
121,1.5,0.5,4,4,4,4,1.5,3,46,46,46,46,46,46,46,46,46,29,29,29,29,29,29,29,29,29,29,78,10,10,10,10,10,10,10,46,3,46,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
162,1.5,0.5,4,4,4,4,1.5,3,46,46,46,46,46,46,46,46,46,29,29,29,29,29,29,29,29,29,29,78,10,10,10,10,10,10,10,46,3,46,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
267,1.5,0.5,4,4,4,4,1.5,3,46,46,46,46,46,46,46,46,46,29,29,29,29,29,29,29,29,29,29,78,10,10,10,10,10,10,10,46,3,46,3,0.5,0.5,1,1,1.5,1.5,0,0,2006
