Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","830","Channel Islands","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","5.3","I","Imputed value",""
"RL","Land Use","152","Chile","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","112","I","Imputed value",""
"RL","Land Use","152","Chile","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","583.3714","I","Imputed value",""
"RL","Land Use","152","Chile","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","11024.792","I","Imputed value",""
"RL","Land Use","159","China","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","13079.049","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","14478.9003","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","392834","E","Estimated value",""
"RL","Land Use","344","China, Hong Kong SAR","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0.3505","I","Imputed value",""
"RL","Land Use","344","China, Hong Kong SAR","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.3894","I","Imputed value",""
"RL","Land Use","344","China, Hong Kong SAR","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","1","I","Imputed value",""
"RL","Land Use","156","China, mainland","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","12986.3574","I","Imputed value",""
"RL","Land Use","156","China, mainland","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","14428.4688","I","Imputed value",""
"RL","Land Use","156","China, mainland","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","392833","A","Official figure",""
"RL","Land Use","158","China, Taiwan Province of","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","92.3412","I","Imputed value",""
"RL","Land Use","158","China, Taiwan Province of","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","50.0421","A","Official figure",""
"RL","Land Use","170","Colombia","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","170","Colombia","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","85.634","A","Official figure",""
"RL","Land Use","170","Colombia","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","41120.4","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","7.3484","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","8.1644","I","Imputed value",""
"RL","Land Use","174","Comoros","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","15","I","Imputed value",""
"RL","Land Use","178","Congo","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","62.1785","I","Imputed value",""
"RL","Land Use","178","Congo","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","69.0833","I","Imputed value",""
"RL","Land Use","178","Congo","5110","Area","6655","Permanent meadows and pastures","2015","2015","1000 ha","10000","I","Imputed value",""
"RL","Land Use","184","Cook Islands","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
"RL","Land Use","184","Cook Islands","5110","Area","6640","Temporary fallow","2015","2015","1000 ha","0.32","I","Imputed value",""
"RL","Land Use","188","Costa Rica","5110","Area","6633","Temporary meadows and pastures","2015","2015","1000 ha","0","I","Imputed value",""
