Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","804","Ukraine","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","453300","A","Official figure",""
"QCL","Crops and livestock products","804","Ukraine","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","366300","A","Official figure",""
"QCL","Crops and livestock products","784","United Arab Emirates","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","272934","E","Estimated value",""
"QCL","Crops and livestock products","784","United Arab Emirates","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","40500","E","Estimated value",""
"QCL","Crops and livestock products","784","United Arab Emirates","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","812849","I","Imputed value",""
"QCL","Crops and livestock products","784","United Arab Emirates","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","410000","E","Estimated value",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","1901000","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","6747918","I","Imputed value",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","3554675","I","Imputed value",""
"QCL","Crops and livestock products","840","United States of America","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","9306900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","256864","I","Imputed value",""
"QCL","Crops and livestock products","858","Uruguay","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","783000","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","860","Uzbekistan","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","4084800","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","700000","E","Estimated value",""
"QCL","Crops and livestock products","860","Uzbekistan","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","548","Vanuatu","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","14370","I","Imputed value",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","2313104","A","Official figure",""
"QCL","Crops and livestock products","704","Viet Nam","5318","Milk Animals","02212","Raw milk of buffalo","2015","2015","An","28409","I","Imputed value",""
"QCL","Crops and livestock products","704","Viet Nam","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","275328","A","Official figure",""
"QCL","Crops and livestock products","887","Yemen","5318","Milk Animals","02293","Raw milk of camel","2015","2015","An","121594","I","Imputed value",""
"QCL","Crops and livestock products","887","Yemen","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","406239","I","Imputed value",""
"QCL","Crops and livestock products","887","Yemen","5318","Milk Animals","02292","Raw milk of goats","2015","2015","An","1635288","I","Imputed value",""
"QCL","Crops and livestock products","887","Yemen","5318","Milk Animals","02291","Raw milk of sheep","2015","2015","An","1737908","I","Imputed value",""
"QCL","Crops and livestock products","894","Zambia","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","275000","E","Estimated value",""
"QCL","Crops and livestock products","716","Zimbabwe","5318","Milk Animals","02211","Raw milk of cattle","2015","2015","An","982561","I","Imputed value",""
