Category,Category_short,Item_Name,GLEAM3_name,Item_group,GLEAM_Method,GLEASTAT_version,DM,GE,DE_ruminants,DE_pigs,ME_ruminants,ME_pigs,ME_chickens,CP,N_content,N_dig_ruminants,N_dig_pigs
Fodder crops,FodderCrops,GRASSLEGH_cultivated,GRASSLEGH_cultivated,GLEAM3,GLEAMX,v1,92.1,21.7,19.5,18.8,14.4,17.4,12.4,56.9,0.09104,80.4,89.4
By-products,ByProducts,MOLASSES,MOLASSES,GLEAM3,GLEAMX,v1,74.2,15.1,12.30725,13.2,10.3,12.9,12.65,9.85,0.01576,72,50
By-products,ByProducts,GRNBYDRY,GRNBYDRY,GLEAM3,GLEAMX,v1,89.33125,19.305,14.45875,13.56375,11.8475,12.675873015873,10.0956666666667,16.5875,0.02654,73.8366666666667,64.16
By-products,ByProducts,MZGLTM,MZGLTM,GLEAM3,GLEAMX,v1,90,23.1,22.9,21.4,16.6,19.8,16.7,67.2,0.10752,81,86.2
By-products,ByProducts,MZGLTF,MZGLTF,GLEAM3,GLEAMX,v1,88.3,18.8,15.1,12.3,12.2,11.6,8.6,21.7,0.03472,74.4,60.2
By-products,ByProducts,BPULP,BPULP,GLEAM3,GLEAMX,v1,24.3,17.1,13.509,11.8,11.2,11.1,2.83333333333333,8.7,0.01392,69,47
By-products,ByProducts,GRNBYWET,GRNBYWET,GLEAM3,GLEAMX,v1,72.8,20.7285714285714,14.7748571428571,14.2181818181818,11.7615384615384,13.3111111111111,11.2222222222222,29.3928571428571,0.0470285714285714,76,76.9
Grass and leaves,GrassLeaves,"Fresh grass, natural pastures",GRASSF_uncultivated,GLEAMX,GLEAMX,v1,24.31,17.8316294275472,10.3861666666667,7.38530303030303,8.23206521739131,6.69836956521739,5.22010869565218,10.5570469798658,0.0168912751677852,,
Crop residues,CropResidues,"Wheat, straw",WSTRAW,GLEAMX,GLEAMX,v1,91,18.5,8.3,2.29999999999999,6.8,2,,4.2,0.00672,3.5,
Cereals,Cereals,Wheat,WHEAT,GLEAMX,GLEAMX,v1,87,18.2,15.6,15.9,13.1,15.5,14.1,12.6,0.02016,70.4,83.5
Crop residues,CropResidues,"Maize (corn), stover",ZSTOVER,GLEAMX,GLEAMX,v1,61.2,18.2,9.4,,7.65,,,5.35,0.00855999999999999,-37,
Cereals,Cereals,Maize (corn),MAIZE,GLEAMX,GLEAMX,v1,87.26,18.7166666666666,16.0999999999999,16.4166666666666,13.5833333333333,16.0333333333333,15.1374999999999,9.1,0.01456,66,80.4
Crop residues,CropResidues,"Rice, straw",RSTRAW,GLEAMX,GLEAMX,v1,92.8,15.5,7.2,5.4,5.8,,,4.2,0.00672,2.1,
Cereals,Cereals,Rice,RICE,GLEAMX,GLEAMX,v1,89.2,18,15.9,17.1,13.4,16.6,15.75,10.4,0.01664,70,92
Crop residues,CropResidues,"Sorghum, stover",SSTOVER,GLEAMX,GLEAMX,v1,93,18.1,8.9,,7.3,,,3.7,0.00592,30,
Cereals,Cereals,Sorghum,SORGHUM,GLEAMX,GLEAMX,v1,87.4,18.8,16,16.1,13.5,15.7,15.85,10.8,0.01728,68.4,70.6
Crop residues,CropResidues,"Barley, straw",BSTRAW,GLEAMX,GLEAMX,v1,90.9,18.2,8,0.025,6.5,2.2,,3.8,0.00607999999999999,22.8,
Cereals,Cereals,Barley,BARLEY,GLEAMX,GLEAMX,v1,87.1,18.3999999999999,14.8,14.8,12.4,14.3,12.25,11.8,0.01888,66.6,76.2
Crop residues,CropResidues,"Rye, straw",,GLEAMX,GLEAMX,v1,92,18.3,8.19999999999999,2.2,6.6,1.9,,4.09999999999999,0.00655999999999999,2,
Cereals,Cereals,Rye,GRAINS,GLEAMX,GLEAMX,v1,86.6,18,15.5,15.1,13,14.6,13.25,10.3,0.01648,68.3,70.9
Crop residues,CropResidues,"Oats, straw",,GLEAMX,GLEAMX,v1,89.6,18,8.1,2.7,6.6,2.4,,3.6,0.00576,31,
Cereals,Cereals,Oats,GRAINS,GLEAMX,GLEAMX,v1,87.9,19.5,14.7,12.7,12.2,12.2,11.5,11,0.0176,63.9,75.9
Crop residues,CropResidues,"Millet, stover",MSTOVER,GLEAMX,GLEAMX,v1,93.6,17.725,8.925,,7.22499999999999,,,4.375,0.00699999999999999,10.3,
Cereals,Cereals,Millet,MILLET,GLEAMX,GLEAMX,v1,89.8,18.7249999999999,15.1489333333333,14.45,12.6333333333333,14.0333333333333,14.3333333333333,11.875,0.019,76.5,
Cereals,Cereals,Triticale,,GLEAMX,GLEAMX,v1,87.1,18.1,15.5,15.6,12.9,15.1,13.85,11.7,0.01872,69.5,83.9
Crop residues,CropResidues,"Buckwheat, straw",,GLEAMX,GLEAMX,v1,87.2,18.7,6.2,,4.9,,,4.59999999999999,0.00736,5.9,
Cereals,Cereals,Buckwheat,GRAINS,GLEAMX,GLEAMX,v1,84.9,18.7,11.6875,12.3,9.6,11.9,,13.2,0.02112,58.3,70.7
Cereals,Cereals,Fonio,,GLEAMX,GLEAMX,v1,89.1,18.2,,13.5,13.6,13.2,13.2,8.6,0.01376,70.9,75.6
Cereals,Cereals,Quinoa,,GLEAMX,GLEAMX,v1,88.2,19.1,,16.2,13.7,15.7,15.25,13.6,0.02176,71.5,82.5
Cereals,Cereals,Mixed grain,GRAINS,GLEAMX,GLEAMX,v1,87.63,18.5368055555555,15.0936433333333,15.0138888888889,12.8013888888889,14.5722222222222,14.042803030303,11.2479166666667,0.0179966666666667,68.3583333333333,78.3818181818182
Cereals,Cereals,Other cereals n.e.,,GLEAMX,GLEAMX,v1,87.63,18.5368055555555,15.0936433333333,15.0138888888889,12.8013888888889,14.5722222222222,14.042803030303,11.2479166666667,0.0179966666666667,68.3583333333333,78.3818181818182
Fruits and vegetables,FruitsVegetables,Cabbages,,GLEAMX,GLEAMX,v1,12.1,17.4,13.2,,10.6,,,19.3,0.03088,88.5,
Fruits and vegetables,FruitsVegetables,Watermelons,,GLEAMX,GLEAMX,v1,7.9,19.5,,9.4,,,,10,0.016,,
Fruits and vegetables,FruitsVegetables,Cantaloupes and other melons,,GLEAMX,GLEAMX,v1,8.2,17.5,,9,8.3,,,17.7,0.02832,,
Fruits and vegetables,FruitsVegetables,Tomatoes,,GLEAMX,GLEAMX,v1,7.3,,,,,,,,,,
Fruits and vegetables,FruitsVegetables,"Pumpkins, squash and gourds",,GLEAMX,GLEAMX,v1,70.6,22.8,,,11.9,,,31,0.0496,70.3,
Fruits and vegetables,FruitsVegetables,Okra,,GLEAMX,GLEAMX,v1,52.7,19.4,,10.7,,,,19.6,0.03136,,
Fruits and vegetables,FruitsVegetables,"Peas, green",,GLEAMX,GLEAMX,v1,86.5,18.3,16.5,16.1,13.4,15.4,12.5,23.9,0.03824,78,84.9
Roots and tubers,RootsTubers,Carrots and turnips,,GLEAMX,GLEAMX,v1,10.7,17.1,14.2,14.1,11.9,,,9.1,0.01456,77,61.1
Cereals,Cereals,Green corn (maize),MAIZE,GLEAMX,GLEAMX,v1,87.26,18.7166666666666,16.0999999999999,16.4166666666666,13.5833333333333,16.0333333333333,15.1374999999999,9.1,0.01456,66,80.4
Fruits and vegetables,FruitsVegetables,"Other vegetables, fresh n.e.",,GLEAMX,GLEAMX,v1,26.4666666666667,19.32,13.2,9.7,10.2666666666667,0,0,19.52,0.031232,79.4,0
